股票代码,公司,简介,公司网站,公司地址,公司电话
SZ300567,精测电子,武汉精测电子集团股份有限公司主营业务为显示、半导体、新能源检测系统的研发、生产与销售。公司主营产品包括模组检测系统、面板检测系统、OLED检测系统、AOI光学检测系统、TouchPanel检测系统和平板显示自动化设备。经过多年的发展，公司中后道制程检测系统的产品技术已处于行业领先水平，技术优势明显，为公司的快速发展奠定了基础。,http://www.wuhanjingce.com,湖北省武汉市江夏区东湖新技术开发区流芳园南路22号,86-27-87671179
SZ301297,富乐德,安徽富乐德科技发展股份有限公司主营业务是泛半导体领域设备洗净及衍生增值服务，具体包括：半导体设备洗净服务、显示面板设备清洗服务（TFT设备洗净、OLED设备洗净、陶瓷熔射再生和阳极氧化再生服务），及半导体设备维修服务等三大类。公司专注于为半导体及显示面板生产厂商提供一站式设备精密洗净服务，为客户生产设备污染控制提供一体化的洗净再生解决方案，并逐步成为国内泛半导体领域设备洗净技术及洗净范围（洗净标的物品类）领先的服务企业之一。截至招股意向书签署日，公司及子公司拥有已获授予专利权181项，其中发明专利共计20项。,http://www.ftvas.com,安徽省铜陵市义安区金桥经济开发区南海路18号,86-562-5316888;86-562-5316888-8080
SH688372,伟测科技,上海伟测半导体科技股份有限公司的主营业务包括晶圆测试，芯片成品测试以及与集成电路测试相关的配套服务。公司的主要产品是和服务是集成电路测试、其他服务等。公司坚持“以晶圆测试为核心，积极发展中高端芯片成品测试”的差异化竞争策略，成为第三方集成电路测试行业成长性最为突出的企业之一。自2016年5月成立以来，公司经营业绩连续保持高速增长，截至目前，公司已经成为第三方集成电路测试行业中规模位居前列的内资企业之一。,http://www.v-test.com.cn,上海市浦东新区东胜路38号D区1栋,86-21-58958216
SH688432,有研硅,"有研半导体硅材料股份公司主要从事半导体硅材料的研发、生产和销售。公司主要产品包括半导体硅抛光片、刻蚀设备用硅材料、半导体区熔硅单晶等。2016年至2020年,公司连续五年被中国半导体行业协会评为“中国半导体材料十强企业”。",http://www.gritek.com,北京市海淀区北三环中路43号,86-10-82087088
SZ300620,光库科技,"珠海光库科技股份有限公司的主营业务是光纤器件的设计、研发、生产、销售及服务的高新技术企业。公司主要产品为光纤激光器件和光通讯器件，按照功能可以分为隔离器、合束器、波分复用器、分束/耦合器等，产品主要应用于光纤激光器、光通讯等重要领域。2018年申报博士工作站成功获批。基于上述平台，公司与中国科学院、天津大学、香港科技大学、北京理工大学等一流的科研院所展开了一系列的项目合作，承担了多项国家级、省市级科研课题。截止到2019年12月31日，公司及子公司共拥有知识产权75项:其中发明专利9项,实用新型专利58项,软件著作权8项。",http://www.afrlaser.com,广东省珠海市香洲区高新区唐家湾镇创新三路399号,86-756-3898036;86-756-3898809
SH688120,华海清科,华海清科股份有限公司是一家拥有核心自主知识产权的高端半导体设备制造商，主要从事半导体专用设备的研发、生产、销售及技术服务，主要产品为化学机械抛光（CMP）设备。公司的主要产品为拥有核心自主知识产权的CMP设备。公司也荣获“天津市科学技术奖（技术发明）一等奖”、“中国机械工业科学技术奖（技术发明）特等奖”、“2018年度、2019年度中国半导体创新产品和技术奖”、“中国好设计金奖”等荣誉。截至2021年12月31日，公司拥有国内外授权专利209项，其中发明专利114项、实用新型专利95项，拥有软件著作权7项；公司CMP设备已累计出货超140台，未发出产品的在手订单超70台，设备已广泛应用于中芯国际、长江存储、华虹集团、英特尔、长鑫存储、厦门联芯、广州粤芯、上海积塔等国内外先进集成电路制造商的大生产线中。,http://www.hwatsing.com,天津市津南区咸水沽镇聚兴道11号,86-22-59781962
SH688012,中微公司,"中微半导体设备(上海)股份有限公司的主营业务是半导体设备及泛半导体设备的研发、生产和销售。公司的主要产品有电容性等离子体刻蚀设备，电感性等离子体刻蚀设备，MOCVD设备，VOC设备。
　　2019年在美国领先的半导体产业咨询公司VLSI Research对全球半导体设备公司的“客户满意度”调查和评比中，公司综合评分继2018年的结果之后继续保持全球第三，在芯片制造设备专业型供应商和专用芯片制造设备供应商评比中均名列第二，并在薄膜沉积设备评比中继续名列第一。同时，全球晶圆制造设备商评级为五星级公司仅有五家，中微公司是其中之一。",http://www.amec-inc.com,上海市浦东新区金桥出口加工区(南区)泰华路188号,86-21-61001199
SZ300260,新莱应材,昆山新莱洁净应用材料股份有限公司主营业务为洁净应用材料和高纯及超高纯应用材料的研发、生产与销售。公司主要产品为高洁净真空室、泵、阀、法兰、管件、管道，产品主要应用于食品安全、生物医药和泛半导体等业务领域。公司在食品饮料、生物医药、真空半导体等三大行业荣获众多知名客户颁发的优秀供应商等荣誉。,http://www.kinglai.com.cn,江苏省苏州市昆山市陆家镇陆丰西路22号,86-512-87881808
SH688409,富创精密,沈阳富创精密设备股份有限公司是国内半导体设备精密零部件的领军企业，也是全球为数不多的能够量产应用于7纳米工艺制程半导体设备的精密零部件制造商。公司的产品为半导体设备、泛半导体设备及其他领域的精密零部件，具体包括工艺零部件、结构零部件、模组产品和气体管路。,http://www.fortune-semi.com,辽宁省沈阳市浑南区飞云路18甲-1号,86-24-31692129
SH688082,盛美上海,盛美半导体设备(上海)股份有限公司主要从事高端半导体设备的研发、生产和销售。主要产品为半导体清洗设备、半导体电镀设备和先进封装湿法设备等。2020年中国大陆半导体专用设备制造五强企业中，公司位列其中。,http://www.acmrcsh.com.cn,上海市浦东新区中国(上海)自由贸易试验区蔡伦路1690号第4幢,86-21-50276506
SH688596,正帆科技,上海正帆科技股份有限公司主营业务是向泛半导体、生物制药等高科技产业及先进制造业客户提供制程关键系统与装备、关键材料和专业服务的三位一体综合服务。公司主要产品包括工艺介质供应系统、高纯特种气体、洁净室配套系统。公司曾获得第三届中国电子材料行业电子化工材料专业十强企业、上海市“专精特新”中小企业等荣誉。,http://www.gentechindustries.com,上海市闵行区春永路55号2幢,86-21-54428800
SZ300668,杰恩设计,深圳市杰恩创意设计股份有限公司主营业务为城市建筑综合体的室内设计，业务领域涵盖了商业综合体(包括商业类建筑、酒店类建筑、办公类建筑等)室内设计、城市轨道交通综合体室内设计、医疗养老综合体室内设计及文教综合体室内设计（包括文化教育类建筑、公共设计类建筑）等四大业务板块。根据客户需求，公司可提供包含动线设计、概念设计、方案设计、扩初设计、施工图设计、后期现场服务等阶段在内的建筑室内设计全流程服务。“沈阳盛京玖伍文化城项目”获得意大利A'Design Awards评选的“意大利A'Design Awards设计大奖银奖”；“南昌正盛商业综合体项目”分别获得Asia Property Award（亚洲不动产奖）评选的“2019Asia Property Award亚洲不动产奖最佳商业建筑设计优秀奖”和“2019Asia Property Award亚洲不动产奖最佳综合体建筑设计优秀奖”。,http://www.jaid.cn,广东省深圳市南山区粤海街道科苑路15号科兴科学园B4单元13楼,86-755-83415156
SZ300551,古鳌科技,上海古鳌电子科技股份有限公司主营业务为提供智慧金融系统整体解决方案以及金融软件信息化产品和服务。公司产品涵盖纸币清分机、综合业务管理系统、对私智能柜台、QWIN期权做市软件V1.0、QWIN期权策略交易系统软件V1.0、QWIN场外期权管理系统软件V1.0等。在智能自助设备领域，公司积极开展人工智能技术，机器视觉技术、传动及位置技术在产品上的应用，将注意力集中到基于AI的鉴伪技术，进行了对DEEPLEARNING技术应用前景的研究，取得了许多成果与专利，在技术创新上奠定了公司在国内自助设备产品的领先地位。公司一直以来都高度注重技术研发，倡导技术创新。作为国内最早成立的金融设备制造企业，公司通过持续研发创新和市场拓展，形成了完整的自主知识产权体系，产品研发与技术创新能力在同行业居领先地位。,http://www.gooao.cn,上海市普陀区同普路1225弄6号,86-21-22252595
SZ301141,中科磁业,浙江中科磁业股份有限公司主要从事永磁材料的研发、生产和销售，是目前国内重要的永磁材料生产商之一，致力于发展成为新一代消费电子和节能家电领域全球领先的永磁材料应用方案提供商。主要产品有烧结钕铁硼永磁材料和永磁铁氧体磁体。公司长期致力于服务国内外中高端客户，高度重视市场开发和品牌建设，经过多年努力，公司品牌已获得市场的广泛认可，主要客户为业内领先的电声器件制造商及永磁电机生产企业。,http://www.dymagnet.com,浙江省金华市东阳市横店工业园区,86-579-86099583
SH688019,安集科技,安集微电子科技(上海)股份有限公司主营业务是关键半导体材料的研发和产业化。主要产品包括不同系列的化学机械抛光液和光刻胶去除剂，主要应用于集成电路制造和先进封装领域。,http://www.anjimicro.com,上海市浦东新区华东路5001号金桥综合保税区T6-5幢,86-21-20693201
SH688172,燕东微,北京燕东微电子股份有限公司的主营业务是产品与方案和制造与服务两类业务。公司的主要产品包括分立器件及模拟集成电路、特种集成电路及器件。报告期内，公司获得的主要荣誉如下：1.2021年中国集成电路创新联盟颁发的第四届“IC创新奖”。2.2021年中国半导体行业协会颁发的2020年中国半导体功率器件十强企业。,http://www.ydme.com,北京市通州区经济技术开发区经海四路51号,86-10-50973019
SZ300020,银江技术,银江技术股份有限公司是国内领先的智慧城市和智慧交通整体解决方案提供商，主要从事智慧城市、智慧交通、智慧医疗和智慧治理等领域业务。公司主要提供智慧城市、智慧交通和智慧医疗等领域的系统建设、软件交付和运营服务。公司曾获得“浙江省科学技术进步一等奖”、“中国城市智能交通市场系统集成商业绩十强”、“最佳社会责任上市公司”等荣誉。,http://www.enjoyor.net,浙江省杭州市富阳区九龙大道中国智谷富春园区A1幢,86-571-89716117
SZ300925,法本信息,深圳市法本信息技术股份有限公司的主营业务是为客户提供专业的信息技术外包(ITO)服务。公司的主要产品及服务为分析与设计服务、开发与编程服务、测试与集成服务、实施与运维服务。,http://www.farben.com.cn,广东省深圳市南山区西丽街道松坪山社区高新北六道15号昱大顺科技园B座1层-6层,86-755-26601132
SH688401,路维光电,深圳市路维光电股份有限公司主营业务是掩膜版的研发、生产和销售。主要产品是石英掩膜版、苏打掩膜版、平板显示掩膜版、半导体掩膜版、触控掩膜版、电路板掩膜版。公司的G11掩膜版产品荣获“2019年突出贡献奖”，半色调掩膜版产品荣获“2020年发展贡献奖之创新突破奖”。,http://www.newwaymask.com,广东省深圳市南山区高新区北区科苑大道西华瀚创新园D座102,86-755-86019099
SZ300654,世纪天鸿,世纪天鸿教育科技股份有限公司的主营业务是教辅图书的策划、设计、制作与发行，为我国中小学师生提供学习和备考解决方案。在我国K12基础教育领域，主要产品为以中小学教辅图书为主的中小学生助学读物，在教育出版领域，公司已打造出以“志鸿优化”为核心品牌的系列助学读物，包括《优化设计》、《优化训练》、《十年高考》、《优秀教案》、《智慧背囊》和《时文选粹》等品牌图书。,http://www.sjthedu.com,山东省淄博市张店区高新区天鸿路9号,86-533-3590083
SH688244,永信至诚,北京永信至诚科技股份有限公司主营业务为网络安全产品的研发、生产和销售，以及为客户提供网络安全服务。公司主要产品及服务包括网络靶场与人才培养、安全管控与蜜罐、安全工具类产品、安全防护系列服务和网络安全竞赛服务。公司自主研发的网络安全实验室靶场平台获得国家计算机网络应急技术处理协调中心2018年网络安全创新产品（技术）一等奖，同时获得中国信息安全测评中心2018年度中国信息安全产业优秀创新型产品解决方案。2018年10月25日，中科合创（北京）科技成果评价中心组织院士等专家对公司的“城市网络靶场构建技术及应用”进行集中评定，认定“该项目达到国内领先水平”。公司作为第一完成人的“基于平行仿真的大规模网络靶场构建技术及应用”项目荣获2019年度北京市科学技术奖（科学技术进步奖）一等奖。,http://www.integritytech.com.cn,北京市海淀区丰豪东路9号院6号楼103,86-10-50866166;86-10-50866160
SH600023,浙能电力,"浙江浙能电力股份有限公司主要从事火电、气电、核电、热电联产、综合能源等业务。管理及控股发电企业主要集中在浙江省内。公司主要产品为电力、热力。国网浙江省电力公司为浙江省电网的唯一运营商,公司向国网浙江省电力公司销售电力。公司电力生产的原材料主要为燃煤和天然气。燃煤以市场化方式向国内外煤炭供应商采购,天然气向浙江能源天然气集团有限公司采购,价格按照省发改委制定的天然气价格执行。公司控股股东浙能集团为全国装机容量最大、资产规模最大、能源产业门类最全、盈利能力最强的省属地方能源企业之一,为公司发展提供坚强后盾。",http://www.zzepc.com.cn,浙江省杭州市西湖区教工路18号世贸丽晶城欧美中心D区,86-571-87210223
SH600629,华建集团,"华东建筑集团股份有限公司主要从事建筑工程设计、水利工程设计、历史建筑保护和利用设计、环境与装饰设计、市政工程设计、建筑声学设计、项目管理、工程承包、工程监理、项目可行性研究、投资控制、科技咨询等。
　　在2019年美国《工程新闻记录》（ENR）“全球工程设计公司150强”中，公司位列第60位，较上一年度上升3位。在首次参与的英国权威建筑杂志《Building Design》世界建筑设计公司100强评选中，公司位列全球第28位，为中国大陆参评公司第一。",http://www.arcplus.com.cn,上海市静安区石门二路258号,86-21-52524567;86-21-62464018
SZ000600,建投能源,河北建投能源投资股份有限公司是河北省的能源投资主体，主营业务为投资、建设、运营管理以电力生产为主的能源项目，公司电力业务以燃煤火力发电和供热为主，同时涉及核电、风电、水电等新能源项目投资。目前拥有控股发电公司10家、售电公司1家，参股发电公司12家；截至2019年末，公司控制运营装机容量815万千瓦，控制在建装机容量35万千瓦，权益运营装机容量867万千瓦。公司拥有控股供热公司4家，参股供热公司2家。,http://www.jei.com.cn,河北省石家庄市桥西区裕华西路9号裕园广场A座17层,86-311-85518633
SZ002051,中工国际,中工国际工程股份有限公司的主营业务为工程承包、设计咨询、装备研发与制造、投资运营、贸易物流。承包板块主要从事国际工程总承包（EPC）业务；投资和贸易板块主要围绕拉动公司工程承包主业开展投资和大宗商品业务。公司的主要业务有国际工程承包业务、投资业务以及贸易业务。报告期内，玻利维亚钾盐厂建设项目、玻利维亚圣布埃纳文图拉糖厂项目同时被中国建筑业协会评选为2019年度中国建设工程鲁班奖（境外工程），标志着公司在全国性工程质量奖项评比中取得了历史性突破。第二届“一带一路”国际合作高峰论坛期间，中白工业园入选境外经贸合作区的典型案例。此外，中白工业园在《亚洲货币》杂志举办的2019年“新丝绸之路”金融奖评选中获评“一带一路”倡议中东欧最佳项目奖、荣获由《金融时报》杂志颁发的“2019全球年度最佳自由区奖”等奖项。据商务部统计，2019年度，公司新签合同额全国排名第22名，完成营业额全国排名第43名。,http://www.camce.com.cn,北京市海淀区丹棱街3号,86-10-82688606;86-10-82688405
SZ001337,四川黄金,四川容大黄金股份有限公司主要从事金矿的采选及销售，主要产品为金精矿和合质金。经过多年发展，公司已成为国内主要的金矿采选企业之一，系中国黄金协会理事单位，被评为国家级绿色矿山企业、四川省重点黄金生产企业。,http://www.scrdgold.com,四川省成都市武侯区高新区天泰路145号,86-28-61551700
SH600248,陕西建工,陕西建工集团股份有限公司主要业务建筑工程业务、石油化工工程业务。主要产品有工程承包、物资销售、设备制造、工程设计及咨询服务、无损检测及技术服务。公司营业规模、经营效益、管理水平、装备能力和综合竞争力继续保持国内同行业前列。,http://www.sxjgkg.com,陕西省西安市莲湖区北大街199号,86-29-87370168
SH603324,盛剑环境,"上海盛剑环境系统科技股份有限公司的主营业务为专注于泛半导体工艺废气治理系统及关键设备的研发设计、加工制造、系统集成及运维管理,致力于为客户定制化提供安全稳定的废气治理系统解决方案,为产业绿色生产创造价值。公司主要产品与服务有工艺废气治理系统解决方案、废气治理系统及设备。公司系为中国泛半导体产业提供工艺废气治理系统解决方案的国内领军企业。经过多年积累,公司建立了完善的质量控制体系,依靠稳定的产品质量,获得了泛半导体行业优质客户的广泛认可,建立了良好的口碑和品牌优势。",http://www.sheng-jian.com,上海市嘉定区汇发路301号盛剑大厦,86-21-60712858
SZ002990,盛视科技,盛视科技股份有限公司是一家主营业务是人工智能、大数据、物联网等新一代信息技术研究，为用户提供更贴近实际需求和符合未来发展的智能产品及“AI+行业”解决方案，服务智慧社会建设。公司目前专业提供智慧口岸查验系统整体解决方案及其智能产品，包括陆路口岸、水运口岸、航空口岸，业务涵盖边检和海关（含原检验检疫）等出入境旅客、货物及交通运输工具的智能通关查验和智能监管等。,http://www.maxvision.com.cn,广东省深圳市福田区华富街道莲花一村社区彩田路7018号新浩壹都A4201-4206(整层)、43整层、45整层,86-755-83849249
SZ000710,贝瑞基因,成都市贝瑞和康基因技术股份有限公司主营业务为以高通量测序技术为基础的基因检测和设备、试剂销售。公司主要产品为基础科研服务、医学检测服务、试剂及仪器。公司是少数通过“产品+服务”的综合方案为各级医院、第三方医学实验室等医疗机构提供医学产品及服务的公司之一，凭借NIPT项目的先发优势，不断多元化基因检测服务项目并适时进行产品化，凭借在临床应用需求的洞察力和在临床进行商业推广的成功经验，确立了公司在遗传学领域的领导地位。公司自主研发的、具有万级技术分辨率的cSMART液态活检技术已获得国内外专利，凭借该技术优势，确立了公司在肿瘤学领域的领先地位。,http://www.berrygenomics.com,北京市昌平区科技园区生命园路4号院5号楼,86-10-53259188
SZ002756,永兴材料,"永兴特种材料科技股份有限公司的主营业务为不锈钢棒、线材及碳酸锂产品的研发、生产和销售。公司的主要产品有不锈钢棒、线材及碳酸锂产品等。公司不锈钢棒线材国内市场占有率长期稳居前二。公司特种不锈钢研究院下属的理化检测中心已通过了中国合格评定国家认可委员会(CNAS)认证。目前已经取得中国方圆标志认证集团认证的质量,环境,职业健康安全,能源四体系认证，德国莱茵(PED＆AD),中国船级社(CCS),挪威船级社(DNV),英国劳氏船级社(LR),美国船级社(ABS),汽车行业IATF16949和APISpecQ1美国石油协会质量体系等认证，公司目前已经取得中国石油化工集团公司,东方电气集团东方锅炉股份有限公司,哈尔滨锅炉厂有限责任公司,上海锅炉厂有限公司等终端行业核心用户对原材料供应商认证。",http://www.yongxingbxg.com,浙江省湖州市吴兴区经济技术开发区霅水桥路618号,86-572-2352506
SH603061,金海通,天津金海通半导体设备股份有限公司的主营业务是研发、生产并销售半导体芯片测试设备；公司的主要产品是供自动化测试设备中的测试分选机及相关定制化设备。公司独立承担了国家科技重大专项之“极大规模集成电路制造装备及成套工艺专项”（02专项）中的“SiP吸放式全自动测试分选机”的课题研发工作，并获得了“国家重大科技专项课题验证合同书”。,http://www.jht-design.com,上海市青浦区嘉松中路2188号,86-21-52277906
SH603005,晶方科技,苏州晶方半导体科技股份有限公司主营业务是传感器领域的封装测试业务。主要产品为芯片封装、芯片测试、芯片设计等。公司是中国大陆首家、全球第二大能为影像传感芯片提供WLCSP量产服务的专业封测服务商。,http://www.wlcsp.com,江苏省苏州市吴中区平江区工业园区汀兰巷29号,86-512-67730001
SZ002371,北方华创,北方华创科技集团股份有限公司主要从事半导体基础产品的研发、生产、销售和技术服务。主要产品为电子工艺装备和电子元器件。经过多年的发展，北方华创在电子工艺装备及电子元器件领域构建了坚实的技术基础，建立了有竞争力的产品体系，打造了专业的技术和管理团队，形成了较强的核心竞争能力。,http://www.naura.com,北京市大兴区经济技术开发区文昌大道8号,86-10-57840288
SH603283,XD赛腾股,苏州赛腾精密电子股份有限公司的主营业务是智能制造装备的研发、设计、生产、销售及技术服务。公司的主要产品为自动化设备、夹治具、技术服务。,http://www.secote.com,江苏省苏州市吴中区吴中经济开发区郭巷街道淞葭路585号,86-512-65648619
SH603690,至纯科技,"上海至纯洁净系统科技股份有限公司的主营业务为半导体制程设备、工艺支持设备的研发和生产销售，以及由此衍生的高纯工艺系统建设、电子材料、部件清洗及晶圆再生等服务。公司的主要产品为高纯工艺集成系统、半导体设备、光传感及光器件。公司于2019年3月完成对波汇科技的收购,波汇科技主要业务为光传感应用及相关光学元器件的研发、生产和销售。公司多项技术已达到国际先进水平。",http://www.pncs.cn,上海市闵行区紫海路170号,86-21-80238290
SZ003043,华亚智能,苏州华亚智能科技股份有限公司主要从事高端精密金属零部件的研发、生产和销售。公司的主要产品或服务为晶圆刻蚀气体输送中心结构件、晶圆(清洗、沉积)控制平台结构件、晶圆成膜设备(PECVD)气体输送装置结构件、超高亮度LED和功率器件外延片、芯片薄膜沉积设备零部件、晶圆检测设备(AWX)成像检测平台结构件等。主要荣誉有2017年11月江苏省科学技术厅、江苏省财政局、江苏省国家税务局、江苏省地方税务局颁发的高新技术企业证书。,http://www.huaya.net.cn,江苏省苏州市相城区经济开发区漕湖产业园春兴路58号,86-512-66731999;86-512-66731803
SZ002123,梦网科技,"梦网云科技集团股份有限公司主营业务为移动互联网运营支撑业务。公司当前主营企业云通信平台,构建以IM云、视频云、物联云、数流云四位一体的企业云通信服务生态,为企业提供全方位的移动互联网运营支撑服务公司持有工信部颁发的跨地区增值电信业务许可证,包含IDC、ISP、呼叫中心和SP业务,是同时获得ISO27001、ISO9001和CMMI认证的移动互联网增值技术企业。梦网科技是国家高新技术企业、中国互联网百强企业、中国互联网行业最具影响力企业、广东省优秀企业、深圳市文化创意百强企业、广东省和深圳市软件收入前百家企业。",http://www.montnets.com,广东省深圳市南山区高新中四道30号龙泰利科技大厦2层,86-755-86011280;86-755-86010035
SZ003017,大洋生物,浙江大洋生物科技集团股份有限公司的主营业务是无机盐、兽用原料药等化学原料产品的生产和销售。公司的主要产品包括碳酸钾、碳酸氢钾、盐酸氨丙啉、2-氯-6-氟苯甲醛等。公司获得了“民企党建百家履行社会责任示范典型”（2011年）等荣誉称号。公司作为国内碳酸钾、碳酸氢钾龙头企业，在业内拥有较高的知名度。“大化牌”碳酸钾、碳酸氢钾先后获得“浙江名牌产品”、“杭州市名牌产品”称号，深受市场欢迎。,http://www.dyhg.com,浙江省杭州市建德市大洋镇朝阳路22号,86-571-64156868
